db,s(byte),sdb(byte),total time-server (s),fileToBufferTime (s),forLoopTime (s),getDataTime (s),sumMulTime (s),saveDataTime (s)
resources/100x1x64/,800,1048576,0.242916,0.0352735,0.207641,0,0,0
resources/100x1x64/,800,1048576,0.232959,0.0269038,0.206051,0,0,0
resources/100x1x64/,800,1048576,0.296681,0.0295095,0.26717,0,0,0
resources/100x1x64/,800,1048576,0.310864,0.0602829,0.250578,0,0,0
resources/100x1x64/,800,1048576,0.26599,0.0594735,0.206515,0,0,0
resources/100x1x64/,800,1048576,1.3919,1.31587,0.0760202,0,0,0
resources/100x1x64/,800,1048576,0.109167,0.0593819,0.0497832,0,0,0
resources/100x1x64/,800,1048576,0.100964,0.0531996,0.0477628,0,0,0
resources/100x1x64/,800,1048576,0.130137,0.0715076,0.0586275,0,0,0
resources/100x1x8/,100,1048576,2.15006,1.81384,0.336216,0,0,0
resources/100x1x8/,100,1048576,0.39211,0.0605809,0.331527,0,0,0
resources/100x1x8/,100,1048576,0.373839,0.0501301,0.323706,0,0,0
resources/100x1x8/,100,1048576,0.38866,0.0541749,0.334483,0,0,0
resources/100x1x8/,100,1048576,0.393703,0.0650663,0.328635,0,0,0
resources/100x1x8/,100,1048576,0.399228,0.062979,0.336247,0,0,0
resources/100x1x8/,100,1048576,0.383104,0.0565741,0.326528,0,0,0
resources/100x1x16/,200,1048576,0.24624,0.0656069,0.180629,0,0,0
resources/100x1x16/,200,1048576,0.246169,0.0651806,0.180986,0,0,0
resources/100x1x16/,200,1048576,0.233107,0.0610694,0.172027,0,0,0
resources/100x1x8/,100,1048576,1.1406,0.811166,0.329431,0,0,0
resources/100x1x8/,100,1048576,0.624023,0.299038,0.324983,0,0,0
resources/100x1x8/,100,1048576,0.404995,0.0620256,0.342968,0,0,0
resources/100x1x8/,100,1048576,0.41073,0.0710335,0.339693,0,0,0
resources/100x1x8/,100,1048576,0.391201,0.0592943,0.331904,0,0,0
resources/100x1x8/,100,1048576,0.374958,0.0494098,0.325546,0,0,0
resources/100x1x16/,200,1048576,0.2354,0.0626942,0.172704,0,0,0
resources/100x1x16/,200,1048576,0.232932,0.0605338,0.172395,0,0,0
resources/100x1x16/,200,1048576,0.239721,0.066343,0.173376,0,0,0
resources/100x1x16/,200,1048576,0.237374,0.0624386,0.174934,0,0,0
resources/100x1x16/,200,1048576,0.230937,0.0605673,0.170368,0,0,0
resources/100x1x16/,200,1048576,0.247102,0.0674999,0.179601,0,0,0
resources/100x1x16/,200,1048576,0.224247,0.0539718,0.170274,0,0,0
resources/100x1x16/,200,1048576,0.259747,0.0661502,0.193595,0,0,0
resources/100x1x16/,200,1048576,0.235818,0.0577216,0.178095,0,0,0
resources/100x1x16/,200,1048576,0.245763,0.0749705,0.170789,0,0,0
resources/100x1x16/,200,1048576,0.24854,0.0637505,0.184787,0,0,0
resources/100x1x16/,200,1048576,0.236494,0.0621915,0.174301,0,0,0
resources/10x1x8s/,8,64,0.000190081,0.000153937,3.0527e-05,0,0,0
resources/10x1x8s/,8,64,0.000236338,0.000166587,6.4625e-05,0,0,0
resources/10x1x8s/,8,64,0.000183501,0.000136926,4.1746e-05,0,0,0
resources/10x1x8s/,8,64,9.3176e-05,6.6782e-05,2.4793e-05,0,0,0
resources/10x1x8s/,8,64,8.835e-05,6.9809e-05,1.6945e-05,0,0,0
resources/10x1x8s/,8,64,0.000136845,0.000115451,1.8547e-05,0,0,0
resources/10x1x8s/,8,64,5.3805e-05,4.2293e-05,1.0358e-05,0,0,0
resources/10x1x8s/,16,64,4.9291e-05,4.0548e-05,7.614e-06,0,0,0
resources/10x1x8s/,32,64,0.000374021,0.000317206,5.3512e-05,0,0,0
resources/10x1x8s/,32,64,0.000344732,0.000266747,7.2327e-05,0,0,0
resources/100x1x16/,200,1048576,1.78751,0.146144,1.64137,0,0,0
resources/100x1x16/,200,1048576,2.40314,0.15345,2.24969,0,0,0
resources/100x1x32/,400,1048576,1.4014,0.0739997,1.3274,0,0,0
resources/100x1x32/,400,1048576,1.37142,0.0602889,1.31112,0,0,0
resources/100x1x64/,800,1048576,0.846146,0.0721681,0.773976,0,0,0
